Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
26.166667,8.026586,165.975439,166.169409,8.420229,123.794200,8.420229,123.794200
26.333333,8.253239,167.941260,168.143935,8.641110,125.092682,8.641110,125.092682
26.500000,8.489129,169.933134,170.145043,8.870206,126.403503,8.870206,126.403503
26.666667,8.734758,171.951674,172.173384,9.107944,127.726871,9.107944,127.726871
26.833333,8.990660,173.997502,174.229626,9.354776,129.062985,9.354776,129.062985
27.000000,9.257405,176.071250,176.314449,9.611183,130.412044,9.611183,130.412044
27.166667,9.535598,178.173561,178.428545,9.877676,131.774235,9.877676,131.774235
27.333333,9.825884,180.305084,180.572621,10.154800,133.149739,10.154800,133.149739
27.500000,10.128952,182.466475,182.747394,10.443135,134.538724,10.443135,134.538724
27.666667,10.445534,184.658395,184.953595,10.743295,135.941347,10.743295,135.941347
27.833333,10.776411,186.881509,187.191959,11.055936,137.357747,11.055936,137.357747
28.000000,11.122414,189.136483,189.463234,11.381755,138.788046,11.381755,138.788046
28.166667,11.484430,191.423978,191.768171,11.721494,140.232341,11.721494,140.232341
28.333333,11.863403,193.744655,194.107526,12.075940,141.690706,12.075940,141.690706
28.500000,12.260340,196.099163,196.482054,12.445932,143.163180,12.445932,143.163180
28.666667,12.676310,198.488140,198.892510,12.832360,144.649769,12.832360,144.649769
28.833333,13.112453,200.912206,201.339640,13.236167,146.150436,13.236167,146.150436
29.000000,13.569982,203.371956,203.824181,13.658359,147.665094,13.658359,147.665094
29.166667,14.050185,205.867958,206.346853,14.099996,149.193602,14.099996,149.193602
29.333333,14.554431,208.400740,208.908353,14.562202,150.735751,14.562202,150.735751
29.500000,15.084171,210.970787,211.509350,15.046167,152.291260,15.046167,152.291260
29.666667,15.640942,213.578526,214.150475,15.553142,153.859761,15.553142,153.859761
29.833333,16.226371,216.224318,216.832310,16.084447,155.440790,16.084447,155.440790
30.000000,16.842176,218.908445,219.555383,16.641467,157.033769,16.641467,157.033769
30.166667,17.490165,221.631095,222.320148,17.225650,158.637995,17.225650,158.637995
30.333333,18.172239,224.392349,225.126979,17.838506,160.252621,17.838506,160.252621
30.500000,18.890389,227.192159,227.976147,18.481604,161.876637,18.481604,161.876637
30.666667,19.646693,230.030331,230.867810,19.156559,163.508850,19.156559,163.508850
30.833333,20.443307,232.906505,233.801986,19.865030,165.147862,19.865030,165.147862
