Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
45.666667,857.259603,-1833.753904,2024.239958,1283.421042,-2441.267665,1283.421042,-2441.267665
45.833333,759.559866,-1766.595709,1922.964271,1137.008553,-2344.115177,1137.008553,-2344.115177
46.000000,676.343738,-1701.213826,1830.729181,1012.311960,-2249.535865,1012.311960,-2249.535865
46.166667,605.166731,-1638.425243,1746.615026,905.665300,-2158.758641,905.665300,-2158.758641
46.333333,544.009285,-1578.660315,1669.764801,814.039938,-2072.432308,814.039937,-2072.432308
46.500000,491.211498,-1522.099458,1599.398479,734.946647,-1990.830609,734.946647,-1990.830609
46.666667,445.412188,-1468.764433,1534.816268,666.344240,-1913.989170,666.344240,-1913.989170
46.833333,405.495045,-1418.579580,1475.396305,606.558773,-1841.797342,606.558773,-1841.797342
47.000000,370.543267,-1371.412023,1420.589051,554.215523,-1774.058524,554.215523,-1774.058524
47.166667,339.801875,-1327.098143,1369.910506,508.182459,-1710.529874,508.182459,-1710.529874
47.333333,312.646978,-1285.460639,1322.935065,467.524143,-1650.947914,467.524143,-1650.947914
47.500000,288.561144,-1246.319179,1279.288486,431.464797,-1595.044509,431.464797,-1595.044509
47.666667,267.113312,-1209.497174,1238.641569,399.358164,-1542.557026,399.358164,-1542.557026
47.833333,247.942914,-1174.825589,1200.704315,370.663700,-1493.234067,370.663700,-1493.234067
48.000000,230.746982,-1142.145118,1165.220854,344.927235,-1446.838733,344.927235,-1446.838733
48.166667,215.269846,-1111.307154,1131.964971,321.765529,-1403.150083,321.765529,-1403.150083
48.333333,201.294805,-1082.174053,1100.736245,300.853768,-1361.963534,300.853769,-1361.963534
48.500000,188.637477,-1054.618892,1071.356666,281.915599,-1323.090502,281.915599,-1323.090502
48.666667,177.140247,-1028.525064,1043.667799,264.714804,-1286.357804,264.714804,-1286.357804
48.833333,166.667904,-1003.785621,1017.528261,249.048754,-1251.606670,249.048754,-1251.606670
49.000000,157.104011,-980.302597,992.811589,234.742970,-1218.691735,234.742970,-1218.691735
49.166667,148.347885,-957.986334,969.404410,221.646583,-1187.480029,221.646583,-1187.480029
49.333333,140.312183,-936.754764,947.204834,209.628730,-1157.849907,209.628730,-1157.849907
49.500000,132.920900,-916.532748,926.121074,198.575540,-1129.690052,198.575540,-1129.690052
49.666667,126.107619,-897.251479,906.070278,188.387514,-1102.898596,188.387514,-1102.898596
49.833333,119.814160,-878.847892,886.977480,178.977500,-1077.382226,178.977500,-1077.382226
50.000000,113.989391,-861.264136,868.774708,170.268910,-1053.055402,170.268910,-1053.055402
