Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
34.500000,46.156303,303.169291,306.662719,40.857946,197.724028,40.857946,197.724028
34.666667,48.092816,306.484512,310.234871,42.285974,198.731115,42.285974,198.731115
34.833333,50.060142,309.766752,313.785688,43.702789,199.647035,43.702789,199.647035
35.000000,52.047857,313.012924,317.310684,45.095553,200.469406,45.095553,200.469406
35.166667,54.044210,316.221384,320.806391,46.450382,201.197692,46.450382,201.197692
35.333333,56.036298,319.392241,324.270674,47.752642,201.833512,47.752642,201.833512
35.500000,58.010308,322.527657,327.703044,48.987348,202.380889,48.987348,202.380889
35.666667,59.951842,325.632105,331.104955,50.139628,202.846417,50.139628,202.846417
35.833333,61.846298,328.712548,334.480050,51.195258,203.239318,51.195258,203.239318
36.000000,63.679313,331.778549,337.834368,52.141220,203.571365,52.141220,203.571365
36.166667,65.437208,334.842270,341.176456,52.966245,203.856671,52.966245,203.856671
36.333333,67.107451,337.918375,344.517399,53.661316,204.111329,53.661316,204.111329
36.500000,68.679081,341.023830,347.870765,54.220072,204.352939,54.220072,204.352939
36.666667,70.143065,344.177604,351.252434,54.639088,204.600030,54.639088,204.600030
36.833333,71.492580,347.400312,354.680372,54.918002,204.871437,54.918002,204.871437
37.000000,72.723195,350.713811,358.174315,55.059485,205.185656,55.059485,205.185656
37.166667,73.832944,354.140774,361.755430,55.069058,205.560250,55.069058,205.560250
37.333333,74.822306,357.704285,365.445937,54.954771,206.011320,54.954771,206.011320
37.500000,75.694090,361.427477,369.268759,54.726781,206.553091,54.726781,206.553091
37.666667,76.453244,365.333213,373.247177,54.396863,207.197625,54.396863,207.197625
37.833333,77.106613,369.443854,377.404546,53.977901,207.954662,53.977901,207.954662
38.000000,77.662658,373.781099,381.764062,53.483374,208.831591,53.483374,208.831591
38.166667,78.131173,378.365899,386.348591,52.926905,209.833531,52.926905,209.833531
38.333333,78.522984,383.218452,391.180574,52.321851,210.963494,52.321851,210.963494
38.500000,78.849691,388.358268,396.281993,51.680979,212.222618,51.680979,212.222618
38.666667,79.123410,393.804285,401.674407,51.016214,213.610437,51.016214,213.610437
38.833333,79.356565,399.575048,407.379041,50.338473,215.125158,50.338473,215.125158
39.000000,79.561711,405.688920,413.416940,49.657562,216.763956,49.657562,216.763956
39.166667,79.751400,412.164341,419.809159,48.982131,218.523230,48.982131,218.523230
39.333333,79.938083,419.020106,426.577011,48.319695,220.398857,48.319695,220.398857
39.500000,80.134051,426.275677,433.742342,47.676669,222.386401,47.676669,222.386401
39.666667,80.351420,433.951517,441.327848,47.058451,224.481300,47.058451,224.481300
39.833333,80.602136,442.069447,449.357431,46.469515,226.679017,46.469515,226.679017
40.000000,80.898039,450.653031,457.856579,45.913522,228.975163,45.913522,228.975163
40.166667,81.250942,459.727980,466.852794,45.393440,231.365597,45.393440,231.365597
40.333333,81.672756,469.322607,476.376058,44.911672,233.846499,44.911672,233.846499
40.500000,82.175658,479.468295,486.459335,44.470210,236.414417,44.470210,236.414417
40.666667,82.772300,490.200025,497.139134,44.070793,239.066284,44.070793,239.066284
40.833333,83.476081,501.556932,508.456106,43.715107,241.799390,43.715107,241.799390
41.000000,84.301489,513.582877,520.455678,43.405026,244.611242,43.405026,244.611242
41.166667,85.264483,526.327015,533.188671,43.142850,247.499261,43.142850,247.499261
41.333333,86.382849,539.844268,546.711835,42.931420,250.460159,42.931420,250.460159
41.500000,87.676299,554.195707,561.088242,42.773745,253.488938,42.773745,253.488938
41.666667,89.165860,569.449138,576.387778,42.671456,256.577920,42.671456,256.577920
41.833333,90.872385,585.680945,592.688754,42.621790,259.717303,42.621790,259.717303
42.000000,92.815594,602.980609,610.082248,42.615175,262.899282,42.615175,262.899282
42.166667,95.016703,621.456909,628.678665,42.637970,266.124154,42.637970,266.124154
42.333333,97.504786,641.241200,648.611949,42.680482,269.401313,42.680482,269.401313
42.500000,100.321346,662.486199,670.039056,42.741892,272.742630,42.741892,272.742630
42.666667,103.520143,685.365593,693.139536,42.827518,276.155916,42.827518,276.155916
42.833333,107.165904,710.078295,718.119570,42.943670,279.643859,42.943670,279.643859
43.000000,111.335336,736.856126,745.219771,43.094971,283.206186,43.094971,283.206186
43.166667,116.120658,765.973136,774.725017,43.284084,286.841731,43.284084,286.841731
43.333333,121.634995,797.756514,806.976163,43.512319,290.549488,43.512319,290.549488
43.500000,128.019571,832.600051,842.384625,43.780264,294.328948,43.780264,294.328948
