DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
2.234801,-1.828164,-0.392733
2.270097,-1.788009,-0.469478
2.303753,-1.746675,-0.545762
2.335688,-1.703906,-0.621732
2.365784,-1.659414,-0.697549
2.393953,-1.612919,-0.773419
2.420151,-1.564162,-0.849592
2.444463,-1.512955,-0.926377
2.467024,-1.459157,-1.004084
2.488001,-1.402704,-1.082961
2.507468,-1.343579,-1.163101
2.525337,-1.281804,-1.244378
2.541317,-1.217433,-1.326419
2.554994,-1.150590,-1.408658
2.565867,-1.081442,-1.490399
2.573496,-1.010248,-1.570916
2.577521,-0.937308,-1.649528
2.577681,-0.862934,-1.725638
2.573783,-0.787404,-1.798756
2.565690,-0.710927,-1.868519
2.553293,-0.633622,-1.934689
2.536593,-0.555566,-1.997193
2.515715,-0.476806,-2.056129
2.490966,-0.397409,-2.111776
2.462834,-0.317474,-2.164569
2.431954,-0.237128,-2.215072
2.399028,-0.156494,-2.263902
2.364781,-0.075695,-2.311683
2.329848,0.005193,-2.358975
2.294732,0.086129,-2.406212
2.259737,0.167106,-2.453652
2.224945,0.248148,-2.501352
2.190208,0.329291,-2.549160
2.155213,0.410553,-2.596756
2.119522,0.491934,-2.643695
2.082664,0.573390,-2.689475
2.044181,0.654837,-2.733573
2.003642,0.736172,-2.775478
1.960630,0.817289,-2.814678
1.914732,0.898100,-2.850674
1.865515,0.978562,-2.882974
1.812574,1.058651,-2.911131
1.755585,1.138357,-2.934788
1.694372,1.217660,-2.953733
1.628967,1.296507,-2.967935
1.559634,1.374810,-2.977576
1.486832,1.452462,-2.983021
1.411201,1.529334,-2.984797
1.333478,1.605295,-2.983531
1.254448,1.680211,-2.979889
1.174888,1.753928,-2.974514
1.095514,1.826278,-2.967967
1.016930,1.897071,-2.960673
0.939614,1.966095,-2.952905
0.863871,2.033137,-2.944759
0.789837,2.097998,-2.936164
0.717473,2.160512,-2.926898
0.646568,2.220565,-2.916613
0.576740,2.278111,-2.904848
0.507474,2.333170,-2.891071
0.438133,2.385832,-2.874707
0.368033,2.436233,-2.855188
0.296514,2.484535,-2.832011
0.223016,2.530902,-2.804793
0.147144,2.575477,-2.773302
0.068715,2.618364,-2.737490
-0.012265,2.659640,-2.697470
-0.095599,2.699341,-2.653497
-0.180958,2.737480,-2.605931
-0.267907,2.774040,-2.555191
-0.355937,2.808963,-2.501729
-0.444475,2.842147,-2.446011
-0.532910,2.873438,-2.388487
-0.620595,2.902622,-2.329589
-0.706889,2.929448,-2.269709
-0.791182,2.953635,-2.209181
-0.872937,2.974903,-2.148263
-0.951732,2.992988,-2.087116
-1.027298,3.007672,-2.025786
-1.099532,3.018789,-1.964196
-1.168521,3.026240,-1.902150
-1.234518,3.029998,-1.839351
-1.297915,3.030108,-1.775438
-1.359192,3.026682,-1.710031
-1.418870,3.019897,-1.642777
-1.477452,3.009977,-1.573398
-1.535392,2.997196,-1.501712
-1.593066,2.981853,-1.427649
-1.650757,2.964258,-1.351244
-1.708641,2.944711,-1.272635
-1.766781,2.923476,-1.192039
-1.825109,2.900754,-1.109748
-1.883429,2.876668,-1.026099
-1.941416,2.851244,-0.941465
-1.998647,2.824420,-0.856225
-2.054626,2.796054,-0.770737
-2.108834,2.765942,-0.685316
-2.160765,2.733839,-0.600212
-2.209972,2.699486,-0.515596
-2.256073,2.662618,-0.431561
-2.298784,2.622990,-0.348126
-2.337907,2.580385,-0.265255
-2.373332,2.534631,-0.182876
-2.405025,2.485611,-0.100905
-2.433025,2.433283,-0.019261
-2.457429,2.377674,0.062113
-2.478396,2.318904,0.143251
-2.496138,2.257167,0.224161
-2.510918,2.192735,0.304830
-2.523042,2.125939,0.385225
-2.532835,2.057151,0.465298
-2.540615,1.986752,0.544980
-2.546667,1.915119,0.624174
-2.551211,1.842591,0.702752
-2.554388,1.769454,0.780560
-2.556252,1.695932,0.857421
-2.556779,1.622170,0.933155
-2.555876,1.548240,1.007594
-2.553403,1.474137,1.080598
-2.549182,1.399781,1.152066
-2.543008,1.325030,1.221939
-2.534661,1.249688,1.290193
-2.523913,1.173526,1.356836
