DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.514717,-1.773227,1.298627
0.588620,-1.797887,1.248760
0.662595,-1.822082,1.198534
0.736199,-1.845592,1.148160
0.809094,-1.868045,1.097559
0.881000,-1.888949,1.046451
0.951768,-1.907783,0.994391
1.021200,-1.923981,0.940940
1.089109,-1.937040,0.885722
1.155284,-1.946545,0.828494
1.219599,-1.952224,0.769084
1.282056,-1.953983,0.707391
1.342870,-1.951921,0.643311
1.402297,-1.946226,0.576809
1.460575,-1.937158,0.507956
1.517722,-1.924925,0.437007
1.573499,-1.909664,0.364408
1.627454,-1.891467,0.290763
1.679128,-1.870454,0.216702
1.728159,-1.846813,0.142788
1.774477,-1.820882,0.069411
1.818244,-1.793065,-0.003226
1.859792,-1.763787,-0.075088
1.899484,-1.733399,-0.146239
1.937627,-1.702118,-0.216806
1.974359,-1.669977,-0.286907
2.009716,-1.636888,-0.356648
2.043592,-1.602635,-0.426110
2.075827,-1.566954,-0.495361
2.106252,-1.529560,-0.564491
2.134763,-1.490186,-0.633655
2.161347,-1.448600,-0.703091
2.186155,-1.404648,-0.773133
2.209409,-1.358219,-0.844156
2.231366,-1.309278,-0.916486
2.252177,-1.257827,-0.990293
2.271803,-1.203896,-1.065507
2.289975,-1.147542,-1.141779
2.306271,-1.088885,-1.218532
2.320167,-1.028083,-1.295037
2.331186,-0.965386,-1.370528
2.338936,-0.901079,-1.444287
2.343126,-0.835452,-1.515711
2.343538,-0.768751,-1.584321
2.340016,-0.701142,-1.649795
2.332434,-0.632693,-1.711946
2.320776,-0.563426,-1.770751
2.305152,-0.493340,-1.826347
2.285854,-0.422459,-1.879033
2.263356,-0.350861,-1.929239
2.238281,-0.278665,-1.977506
2.211310,-0.206004,-2.024410
2.183140,-0.133017,-2.070529
2.154370,-0.059801,-2.116368
2.125456,0.013585,-2.162309
2.096658,0.087121,-2.208563
2.068020,0.160821,-2.255149
2.039374,0.234716,-2.301891
2.010417,0.308817,-2.348467
1.980745,0.383119,-2.394453
1.949949,0.457569,-2.439387
1.917649,0.532075,-2.482813
1.883495,0.606528,-2.524291
1.847141,0.680819,-2.563386
1.808224,0.754867,-2.599665
1.766331,0.828638,-2.632677
1.721055,0.902128,-2.661993
